Kabupaten Bogor,Kabupaten Sukabumi,Kabupaten Cianjur,Kabupaten Bandung,Kabupaten Garut
1716.8,415.5,965.19,2068.06,473.89
2914.65,1003.64,1115.81,1334.12,1144.01
